Employee Name,Building,Department,Birth Date,Hire Date,Years,Compensation,Job Rating,Benefits
"Osborne, Bill",MAIN,Engineering/Maintenance,26922,39893,12,94970,5,D——
"Foster, Blane",NORTH,Engineering/Maintenance,27145,40000,12,113360,3,DM—
"Hicks, Monica",NORTH,Engineering/Maintenance,27515,40437,10,115210,4,D——
"Everett, Dan",WEST,Engineering/Maintenance,30850,40612,10,88290,5,——R
"Porter, Rachel",MAIN,Engineering/Maintenance,34314,42737,4,54770,5,D—R
"Payne, Vicky",MAIN,Engineering/Maintenance,30399,42926,4,51120,1,—MR
"Figueroa, Leonard",WEST,Engineering/Maintenance,31927,42944,3,30730,1,D—R
"Weber, Larry",MAIN,Engineering/Maintenance,29789,43153,3,102720,3,DMR
"Bartlett, Julia",TAFT,Engineering/Maintenance,30164,43227,3,98620,2,——R
"Rhodes, Brenda",NORTH,Engineering/Maintenance,30739,43248,3,90960,5,—MR
"Alexander, Charles",NORTH,Engineering/Maintenance,22979,36124,22,18220,3,D—R
"Herman, Henrietta",MAIN,Engineering/Maintenance,28406,36818,20,35490,3,———
"Peterson, Shaun",NORTH,Engineering/Maintenance,29175,37200,19,51370,4,—M—
"McGuire, Rebecca",WEST,Engineering/Maintenance,24811,38169,17,63910,4,—M—
"House, Paul",MAIN,Engineering/Maintenance,28098,38494,16,30860,4,—M—
"Robbins, Suzanne",WEST,Engineering/Maintenance,28811,38711,15,24420,5,—M—
"Patterson, Robert",WEST,Engineering/Maintenance,28025,39139,14,43630,5,——R
"George, Jessica",NORTH,Engineering/Maintenance,30681,39254,14,39710,3,D—R
"Ramsey, Nathaniel",NORTH,Engineering/Operations,30603,41407,8,104100,2,DM—
"Pennington, Gary",MAIN,Engineering/Operations,30510,42181,6,47020,4,D——
"Lyons, Brian",NORTH,Engineering/Operations,31368,42905,4,78340,5,D—R
"Sheppard, Curtis",NORTH,Engineering/Operations,31225,40535,10,114220,1,DMR
"Rush, Lateef",MAIN,Engineering/Operations,29006,41049,9,48350,4,DMR
"Rush, Lateef",MAIN,Engineering/Operations,29006,41049,9,48350,4,DMR
"Morgan, Patricia",SOUTH,Engineering/Operations,32668,42040,6,93880,4,—MR
"Duncan, George",NORTH,Engineering/Operations,30822,42575,4,100900,3,DMR
"Wall, John",NORTH,Environmental Health/Safety,26776,35723,23,91160,1,D——
"Kelly, Icelita",MAIN,Environmental Health/Safety,28614,38101,17,30250,3,——R
"Franklin, Alicia",WATSON,Environmental Health/Safety,28136,38166,17,34990,1,—MR
"Morton, Brian",SOUTH,Environmental Health/Safety,26218,38834,15,90160,5,DM—
"Morales, Linda",MAIN,Environmental Health/Safety,25648,38901,15,65820,2,———
"James, Lynn",NORTH,Environmental Health/Safety,32285,41799,7,,5,———
"Sims, Don",MAIN,Environmental Health/Safety,31040,43168,3,37790,1,D——
"Ballard, Martin",NORTH,Environmental Health/Safety,34216,43224,3,13890,4,——R
"Contreras, Dean",MAIN,Environmental Health/Safety,34856,42965,3,36280,4,D—R
"Wright, Brad",TAFT,Executive Education,25945,35897,23,105670,2,———
"Bowman, Michael",WEST,Executive Education,26919,37802,18,46540,2,—M—
"Chang, Gabriel",MAIN,Executive Education,26323,38389,16,100350,1,DMR
"Skinner, Jason",MAIN,Executive Education,29999,38611,15,85100,3,D—R
"Glass, John",TAFT,Executive Education,26921,38828,15,43480,5,———
"Clark, William",WATSON,Executive Education,27716,38994,14,114800,4,—M—
"Watson, Christian",SOUTH,Executive Education,28665,40319,11,96870,2,———
"Luna, Rodney",WEST,Executive Education,23479,36099,22,49660,5,——R
"Dennis, Paul",MAIN,Executive Education,26239,36265,22,108900,5,—MR
"Randolph, Kristin",NORTH,Executive Education,26470,36475,21,109240,4,DM—
"Robinson, John",WATSON,Executive Education,30344,38139,17,105760,4,—M—
"Owen, Robert",MAIN,Executive Education,25281,38729,15,66150,1,D—R
"Leonard, Paul",NORTH,Executive Education,27698,38921,14,80960,1,D——
"Frazier, Chris",MAIN,Executive Education,29977,39765,12,80720,4,DM—
"Burgess, Cherie",WATSON,Executive Education,27721,40264,11,52460,1,D—R
"Gilbert, Shannon",NORTH,Executive Education,28073,36646,21,24630,4,D—R
"Henson, Debra",MAIN,Executive Education,29832,39009,14,56640,1,DM—
"Mason, Suzanne",NORTH,Executive Education,25176,35835,23,19420,5,DMR
"Moody, Matthew",NORTH,Executive Education,26351,38325,16,16730,2,———
"Gentry, John",NORTH,International Clinical Safety,28701,41179,8,79280,2,DM—
"Solomon, Michael",MAIN,International Clinical Safety,26933,37981,17,88100,2,———
"Caldwell, Pete",WEST,International Clinical Safety,31449,39221,14,99080,5,DMR
"Murphy, Jeff",NORTH,International Clinical Safety,32328,41239,8,62500,5,—MR
"White, Daniel",WEST,International Clinical Safety,32073,43052,3,104480,2,DMR
"Diaz, David",NORTH,Logistics,25794,36076,22,29460,2,———
"Eaton, Cris",MAIN,Logistics,24766,36601,21,107010,5,D——
"Cline, Rebecca",WEST,Logistics,24015,36813,20,84600,2,—MR
"Sanchez, Greg",WEST,Logistics,29524,37413,19,59450,5,D——
"Kent, Angus",MAIN,Logistics,27734,37423,19,34800,4,DMR
"Reed, Larry",NORTH,Logistics,29169,37564,18,53540,5,D——
"Reed, Larry",NORTH,Logistics,29169,37564,18,53540,5,D——
"McLaughlin, Edward",MAIN,Logistics,27059,38591,15,33160,5,D——
"Harris, Brian",NORTH,Logistics,32411,40293,11,42200,5,DM—
"Gates, Anne",TAFT,Logistics,30111,42706,4,75130,4,—MR
"Callahan, Marilyn",MAIN,Logistics,30420,42888,4,60500,4,DM—
"Meyers, David",WATSON,Logistics,30201,42911,4,60340,3,—MR
"Gonzalez, David",SOUTH,Logistics,24387,35731,23,42720,4,DM—
"Maldonado, Robert",MAIN,Logistics,26346,35769,23,46680,5,—M—
"Sherman, Karin",NORTH,Logistics,29628,37905,17,84190,5,—M—
"Hardin, Gregory",NORTH,Logistics,27107,38153,17,49830,5,—M—
"Wiggins, Frank",MAIN,Logistics,29296,38257,16,75070,1,D—R
"Shepherd, Annie",TAFT,Logistics,30796,38641,15,93730,5,—MR
"King, Taslim",TAFT,Logistics,26920,38734,15,108770,2,—MR
"Rogers, Colleen",SOUTH,Logistics,30372,39066,14,,5,———
"McIntosh, Jeremy",WEST,Logistics,31002,39295,13,94220,2,——R
"Campos, Richard",MAIN,Logistics,29052,39940,12,56070,3,——R
"Ortiz, Cynthia",NORTH,Logistics,29176,40787,9,86540,1,DM—
"Wiley, Gustavo",NORTH,Logistics,31510,41405,8,29580,4,DMR
"McGee, Carol",MAIN,Logistics,30375,43051,3,43080,4,D—R
"Glenn, Christopher",NORTH,Logistics,30564,43122,3,56260,3,——R
"Young, Benjamin",WEST,Logistics,24158,36361,21,45030,4,———
"Herrera, Shawn",NORTH,Logistics,29026,37407,19,19810,4,—M—
"Montoya, Lisa",NORTH,Logistics,25357,37722,18,28010,3,———
"Conner, Mark",NORTH,Logistics,30039,37838,17,43340,2,D—R
"Maynard, Susan",MAIN,Logistics,29038,42420,5,52160,5,D—R
"Keller, Jason",SOUTH,Logistics,25624,38915,15,,4,———
"Manning, John",MAIN,Logistics,33320,42545,5,20780,3,—MR
"Bowers, Tammy",SOUTH,Major Mfg Projects,25822,39325,13,91620,4,D—R
"Weiss, Marisa",TAFT,Major Mfg Projects,30372,42915,4,93970,4,—M—
"Soto, Christopher",MAIN,Major Mfg Projects,26347,36037,22,117660,1,———
"Singleton, David",SOUTH,Major Mfg Projects,31904,39695,12,59600,1,—MR
"Mendez, Max",MAIN,Major Mfg Projects,27683,37053,20,118510,4,———
"Wolfe, Keith",NORTH,Major Mfg Projects,30375,40157,11,68380,1,DM—
"Becker, Gretchen",MAIN,Major Mfg Projects,28180,39171,14,81660,5,—M—
"Ball, Kirk",NORTH,Major Mfg Projects,29593,40598,10,112370,5,D—R
"Swanson, Vicki",NORTH,Manufacturing,23427,36426,21,42490,3,DM—
"Carey, Andrea",MAIN,Manufacturing,23147,36471,21,65380,2,—MR
"Parker, Carl",MAIN,Manufacturing,26522,36631,21,97670,3,D—R
"Herring, Joanna",TAFT,Manufacturing,26568,36683,21,85050,4,DMR
"Grant, Leonard",WEST,Manufacturing,27424,36705,21,104570,4,DMR
"Bates, Verna",MAIN,Manufacturing,24645,36801,20,60420,5,—M—
"Snow, Desiree",SOUTH,Manufacturing,26155,36917,20,46810,3,—M—
"McDaniel, Tamara",MAIN,Manufacturing,25661,37077,20,83570,3,DMR
"Logan, Karen",WATSON,Manufacturing,27362,37323,19,106510,3,—MR
"Gonzales, David",NORTH,Manufacturing,24760,37837,17,32220,3,D—R
"Moses, Mark",MAIN,Manufacturing,28524,38001,17,69880,4,D—R
"Flynn, Melissa",WATSON,Manufacturing,30038,38012,17,37300,5,DM—
"Flynn, Melissa",WATSON,Manufacturing,30038,38012,17,37300,5,DM—
"Combs, Rick",MAIN,Manufacturing,29702,38031,17,87130,2,D—R
"Reeves, Greg",SOUTH,Manufacturing,27666,39252,14,55230,2,D——
"Ellison, Melissa",MAIN,Manufacturing,27646,39289,13,76030,3,D—R
"Powell, Juli",SOUTH,Manufacturing,28033,39356,13,76240,3,DM—
"Brown, Donald",NORTH,Manufacturing,31521,39370,13,118170,5,—MR
"Vega, Alexandra",NORTH,Manufacturing,27454,39381,13,59950,1,DM—
"Simpson, Jimmy",NORTH,Manufacturing,27465,39629,13,90430,5,———
"Whitehead, Carolyn",TAFT,Manufacturing,26573,39978,12,69660,2,DM—
"Hutchinson, Robin",NORTH,Manufacturing,30858,40286,11,81010,3,——R
"Sharp, Janine",WATSON,Manufacturing,28688,40472,10,99550,1,DMR
"Woodward, Timothy",WATSON,Manufacturing,31407,40551,10,84770,5,DMR
"Vance, Cheryl",NORTH,Manufacturing,30805,40696,10,75780,2,DMR
"Koch, Danielle",NORTH,Manufacturing,27273,40725,10,51880,2,DMR
"Branch, Brady",WEST,Manufacturing,30549,40941,9,94820,3,—M—
"Chandler, Diane",NORTH,Manufacturing,29752,40973,9,50130,4,D—R
"Hopkins, Lisa",NORTH,Manufacturing,32797,41159,8,54040,2,D——
"Bowen, Kes",WEST,Manufacturing,30785,41189,8,52380,1,D——
"Browning, Kathleen",SOUTH,Manufacturing,32726,41526,7,78320,4,—M—
"Sellers, William",TAFT,Manufacturing,32031,41564,7,106040,4,———
"Tanner, Timothy",NORTH,Manufacturing,29671,41841,6,84280,2,DMR
"Roberson, Eileen",WEST,Manufacturing,32624,42190,6,82870,4,———
"Garner, Terry",MAIN,Manufacturing,31021,42197,6,111100,2,DMR
"Bush, Rena",WEST,Manufacturing,33077,42474,5,79250,5,——R
"Wood, Larry",WEST,Manufacturing,32665,42482,5,103650,4,—M—
"Roman, Teri",NORTH,Manufacturing,24302,36265,22,,5,———
"Tran, Chad",MAIN,Manufacturing,28475,36283,22,69880,4,DM—
"Vaughn, Harlon",MAIN,Manufacturing,27897,36300,22,79700,4,—M—
"Nguyen, Dennis",WEST,Manufacturing,28036,36372,21,77760,1,D—R
"Brady, Traci",MAIN,Manufacturing,26409,36373,21,34570,5,D——
"Ware, David",MAIN,Manufacturing,23395,36645,21,60060,3,—MR
"Serrano, Al",SOUTH,Manufacturing,27749,36720,21,30800,4,D——
"Griffin, Debbi",MAIN,Manufacturing,26241,36803,20,108210,2,—M—
"Jackson, Eric",MAIN,Manufacturing,25254,37056,20,32620,2,—M—
"Floyd, Eric",TAFT,Manufacturing,25167,37135,19,106930,4,DMR
"Davidson, Jaime",WEST,Manufacturing,29390,37193,19,45510,3,D—R
"Wheeler, Meegan",TAFT,Manufacturing,27047,37437,19,32080,3,DM—
"Stephens, Bonnie",NORTH,Manufacturing,24866,37533,18,83250,1,——R
"Garrett, Christopher",NORTH,Manufacturing,25984,37623,18,88510,4,D——
"Cannon, Jenny",WEST,Manufacturing,27281,37672,18,51400,2,DM—
"Larson, David",NORTH,Manufacturing,29825,37676,18,96450,5,D——
"Barber, Robbie",MAIN,Manufacturing,27267,37808,18,113860,3,——R
"Greer, Brian",MAIN,Manufacturing,29956,37840,17,58440,2,D——
"Ward, Williams",NORTH,Manufacturing,27920,37851,17,96950,3,—M—
"Ingram, Matt",TAFT,Manufacturing,29618,37963,17,52170,5,——R
"Melton, Scott",MAIN,Manufacturing,26401,38008,17,60030,4,D——
"Morris, Richelle",WATSON,Manufacturing,26358,38013,17,78300,4,———
"Montgomery, Christopher",WEST,Manufacturing,25958,38163,17,96550,5,D——
"Miller, Jessica",MAIN,Manufacturing,27636,38172,17,105240,2,—MR
"McCall, Keith",NORTH,Manufacturing,30004,38178,17,42750,2,D—R
"Jimenez, Dominic",SOUTH,Manufacturing,26512,38181,17,59290,1,———
"Ayala, Polly",MAIN,Manufacturing,29538,38241,16,79570,1,———
"Russell, Mark",TAFT,Manufacturing,28927,38243,16,80720,2,—M—
"Barron, Michael",MAIN,Manufacturing,29285,38347,16,79330,1,—M—
"McDonald, Debra",NORTH,Manufacturing,29903,38355,16,87690,2,D——
"Stokes, Jonathan",WEST,Manufacturing,25983,38366,16,92430,3,DMR
"Shannon, Kevin",TAFT,Manufacturing,27262,38453,16,103710,1,—M—
"Hanson, Dennis",WATSON,Manufacturing,29843,38482,16,46810,5,—M—
"Bradford, Raymond",NORTH,Manufacturing,26064,38584,15,118460,5,DM—
"Fernandez, Marie",WEST,Manufacturing,28893,38590,15,73190,5,D—R
"Mullins, Angela",MAIN,Manufacturing,28236,38648,15,53250,2,DMR
"Carr, Susan",MAIN,Manufacturing,26984,38661,15,99160,5,D——
"Garza, Anthony",SOUTH,Manufacturing,26717,38736,15,43840,4,D—R
"Cox, Stephanie",MAIN,Manufacturing,25747,38753,15,116480,5,—M—
"Cochran, Andrea",WEST,Manufacturing,29937,38774,15,29910,2,DM—
"Pace, Joseph",TAFT,Manufacturing,26740,38850,15,107450,2,—M—
"Jenkins, Scott",MAIN,Manufacturing,29863,38925,14,80960,4,DMR
"Thomas, Shannon",NORTH,Manufacturing,31128,38970,14,,1,———
"Wilcox, Robert",NORTH,Manufacturing,25907,38984,14,49840,2,—M—
"Jennings, Gary",SOUTH,Manufacturing,29869,39065,14,52880,3,—MR
"Mathis, Shari",NORTH,Manufacturing,29923,39083,14,47280,2,—M—
"Barnes, Grant",WEST,Manufacturing,29150,39096,14,88810,3,———
"McCullough, Scott",MAIN,Manufacturing,28037,39187,14,100570,4,——R
"Sexton, John",WEST,Manufacturing,28805,39350,13,31220,1,DMR
"Conley, Mark",NORTH,Manufacturing,28184,39359,13,51310,2,DM—
"Sweeney, Barbara",NORTH,Manufacturing,26243,39720,12,87130,5,DM—
"Mercado, David",SOUTH,Manufacturing,27952,39881,12,33410,4,DM—
"Huff, Erik",MAIN,Manufacturing,30996,39983,12,82830,3,—MR
"Beck, Craig",NORTH,Manufacturing,28104,40046,11,38240,3,DMR
"Noble, Michael",MAIN,Manufacturing,28044,40088,11,84650,1,——R
"Robles, Charles",MAIN,Manufacturing,31993,40161,11,91190,3,—MR
"Medina, Warren",NORTH,Manufacturing,30640,40518,10,71580,5,DM—
"Wallace, Timothy",WATSON,Manufacturing,30495,40588,10,40810,5,D——
"Calhoun, Dac Vinh",MAIN,Manufacturing,30805,40595,10,99230,3,———
"Townsend, Jerry",WEST,Manufacturing,31747,40798,9,62490,2,D—R
"Hood, Renee",WATSON,Manufacturing,29218,40973,9,93400,1,DM—
"Meyer, Charles",NORTH,Manufacturing,31620,41029,9,115840,1,—MR
"Black, Cliff",SOUTH,Manufacturing,29537,41029,9,54200,3,——R
"Booker, Judith",NORTH,Manufacturing,33137,41316,8,80600,5,D——
"Booker, Judith",NORTH,Manufacturing,33137,41316,8,80600,5,D——
"Johns, Chad",WEST,Manufacturing,28849,41385,8,90700,4,——R
"Jordan, Mark",WEST,Manufacturing,32617,41461,8,101090,1,D——
"Willis, Ralph",NORTH,Manufacturing,30664,41473,7,86750,1,—MR
"Harvey, Michael",NORTH,Manufacturing,30159,41484,7,38830,5,——R
"Sullivan, Robert",WATSON,Manufacturing,32877,41964,6,93760,3,——R
"Anthony, Robert",SOUTH,Manufacturing,33764,42000,6,61010,2,——R
"Roth, Tony",MAIN,Manufacturing,32935,42042,6,94370,5,DM—
"Phelps, Gretchen",WATSON,Manufacturing,31908,42107,6,78430,4,D——
"Gaines, Sheela",MAIN,Manufacturing,29711,42348,5,91500,3,DM—
"Woods, Marcus",SOUTH,Manufacturing,34457,42624,4,103180,5,—MR
"Lynch, Scott",WATSON,Manufacturing,31441,42827,4,45790,2,D—R
"Hansen, Andrew",NORTH,Manufacturing,32357,42855,4,46990,5,DMR
"Dominguez, Duane",MAIN,Manufacturing,31959,42922,4,46600,5,DMR
"Horton, Cleatis",WEST,Manufacturing,30647,43230,3,57840,2,D—R
"Paul, Michael",NORTH,Manufacturing,34577,43255,3,58420,1,—MR
"Frost, Adam",MAIN,Manufacturing,34382,43286,3,62620,3,———
"Cruz, Janene",WEST,Manufacturing,26556,36815,20,24940,4,—M—
"Velez, Letitia",TAFT,Manufacturing,27375,37235,19,,2,———
"Best, Lara",NORTH,Manufacturing,24890,37841,17,61100,5,—M—
"Schultz, Norman",TAFT,Manufacturing,28107,37995,17,61570,5,DMR
"Strong, Lisa",TAFT,Manufacturing,25073,38459,16,64460,5,—M—
"Doyle, Leslie",MAIN,Manufacturing,28511,38829,15,28600,2,—M—
"Abbott, James",MAIN,Manufacturing,30432,38921,14,63610,1,DMR
"Cobb, Nicole",NORTH,Manufacturing,28106,39012,14,14610,1,—MR
"Cohen, Bruce",NORTH,Manufacturing,25709,39074,14,22800,5,DM—
"Walker, Mike",MAIN,Manufacturing,30023,39155,14,54930,1,—MR
"Miranda, Elena",NORTH,Manufacturing,27960,39256,14,61660,3,—M—
"Tate, Zachary",WEST,Manufacturing,29029,40272,11,32290,1,—M—
"Sanders, Troy",SOUTH,Manufacturing,26233,36403,21,29490,4,D——
"Orr, Jennifer",SOUTH,Manufacturing,26227,36817,20,40150,1,D——
"Mitchell, Shannon",WEST,Manufacturing,29498,38142,17,29660,1,DM—
"Hartman, Michael",WEST,Manufacturing,28908,38481,16,38510,3,DMR
"Hunter, Lisa",NORTH,Manufacturing,27642,38634,15,11750,3,———
"Blevins, Carey",SOUTH,Manufacturing,29687,38719,15,,4,———
"Lawson, Erin",MAIN,Manufacturing,27448,38957,14,12440,4,D——
"Sutton, Matthew",NORTH,Manufacturing,27434,40382,10,11740,1,—M—
"Bradshaw, Sheryl",WEST,Manufacturing,30477,41739,7,19030,4,D—R
"Perry, Christopher",WATSON,Manufacturing,28935,42399,5,13950,4,D——
"Vazquez, Kenneth",MAIN,Manufacturing,32690,43226,3,37520,4,DMR
"McKinney, Christofer",WEST,Manufacturing Admin,28360,39417,13,98340,4,D——
"Moss, Chan",WATSON,Manufacturing Admin,31276,42944,3,81690,2,———
"Gibson, Janet",SOUTH,Manufacturing Admin,25106,36484,21,51690,3,DMR
"Castro, Christopher",TAFT,Manufacturing Admin,26559,40059,11,78060,5,D—R
"Burton, Cam",NORTH,Manufacturing Admin,27760,40588,10,71110,2,DM—
"Garcia, Karen",WEST,Manufacturing Admin,33566,41690,7,94250,4,——R
"Garcia, Karen",WEST,Manufacturing Admin,33566,41690,7,94250,4,——R
"Acosta, Robert",WATSON,Manufacturing Admin,31739,42965,3,35970,5,D——
"Cain, Lon",WATSON,Operations,26477,36706,21,38280,5,DMR
"Larsen, Lara",SOUTH,Operations,25931,37599,18,108150,5,DM—
"Beard, Sandi",WATSON,Operations,29379,38170,17,71110,2,DM—
"Ellis, Brenda",NORTH,Operations,25176,38334,16,84280,2,—MR
"Bauer, Chris",MAIN,Operations,25009,38428,16,102870,5,———
"Duran, Brian",WEST,Operations,27207,38844,15,62860,5,D—R
"Short, Timothy",TAFT,Operations,26324,38851,15,41280,5,——R
"Higgins, Angela",NORTH,Operations,26697,39355,13,66260,4,DM—
"Norris, Tamara",TAFT,Operations,29624,41148,8,75930,3,DMR
"Fitzgerald, George",MAIN,Operations,33554,41935,6,98300,3,——R
"Wilkerson, Claudia",WEST,Operations,24059,35875,23,41260,5,—M—
"Fowler, John",SOUTH,Operations,25454,35899,23,82820,4,———
"Pittman, Bacardi",TAFT,Operations,24120,36059,22,30230,1,DM—
"Davis, Tonya",NORTH,Operations,22854,36258,22,115000,3,D——
"Bishop, Juan",NORTH,Operations,26849,36347,22,79940,4,D—R
"Strickland, Rajean",WEST,Operations,25506,36354,22,48870,2,D—R
"Rojas, Charles",TAFT,Operations,24473,36417,21,97590,1,D——
"Shaw, Pat",NORTH,Operations,24375,36686,21,59640,5,———
"Reynolds, Barbara",NORTH,Operations,25218,36719,21,114230,4,D—R
"Richards, Richard",NORTH,Operations,24139,36829,20,86130,2,D——
"Perez, Kim",NORTH,Operations,24724,37527,18,88330,2,——R
"Parks, Christopher",WEST,Operations,26428,37872,17,,4,———
"Maxwell, Jill",WEST,Operations,27122,37906,17,64420,4,D—R
"Olsen, Ewan",TAFT,Operations,27430,37934,17,75980,4,D——
"Wade, Kevin",NORTH,Operations,24957,38199,16,107760,4,—MR
"Jacobs, Florianne",WEST,Operations,27577,38508,16,114620,3,DM—
"Ford, Matt",MAIN,Operations,25173,38509,16,108390,3,—MR
"Holloway, Christopher",NORTH,Operations,29739,38768,15,65700,1,——R
"Burke, Michael",WATSON,Operations,29308,38949,14,60760,2,DMR
"Jensen, Kristina",WEST,Operations,30286,39314,13,69290,4,D——
"Barker, Heidi",WEST,Operations,27887,39592,13,64670,5,—MR
"Cunningham, Denise",WEST,Operations,31465,41809,7,62850,4,—MR
"Cross, Marc",WATSON,Operations,32906,42735,4,58280,4,DM—
